,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Scotts Bluff County,87.58%,0.27%,1.88%,0.57%,0.04%,8.02%,1.63%,17.19%,$32,016.00,$38,932.00,$30,317.00,$20,717.00,$17,355.00,11.00%,14.50%,22.00%,8.70%
Scottsbluff,81.88%,0.44%,3.20%,0.75%,0.04%,11.60%,2.10%,23.59%,,,,,,,,,
Scribner,98.35%,0.31%,0.10%,,,0.72%,0.51%,0.93%,,,,,,,,,
Seneca,100.00%,,,,,,,,,,,,,,,,
Seward,97.97%,0.46%,0.13%,0.47%,,0.36%,0.60%,0.98%,,,,,,,,,
Seward County,98.05%,0.28%,0.21%,0.29%,0.05%,0.40%,0.72%,1.09%,$42,700.00,$51,813.00,$32,218.00,$22,329.00,$18,379.00,4.10%,7.00%,6.20%,6.80%
Shelby,98.55%,0.14%,,0.29%,,0.29%,0.72%,1.59%,,,,,,,,,
Shelton,87.98%,0.79%,0.26%,,,10.18%,0.79%,16.67%,,,,,,,,,
Sheridan County,88.11%,0.08%,9.23%,0.15%,0.02%,0.34%,2.08%,1.47%,$29,484.00,$35,167.00,$21,892.00,$18,423.00,$14,844.00,11.00%,13.20%,20.30%,7.50%
Sherman County,99.00%,0.10%,0.10%,0.30%,,0.10%,0.40%,1.00%,$39,041.00,$34,821.00,$23,065.00,$17,269.00,$26,416.00,14.10%,,,
Shickley,97.87%,0.27%,,,0.27%,1.33%,0.27%,1.60%,,,,,,,,,
Sholes,100.00%,,,,,,,,,,,,,,,,
Shubert,97.22%,,1.19%,,,0.79%,0.79%,2.78%,,,,,,,,,
Sidney,95.22%,0.18%,0.76%,0.56%,0.05%,2.07%,1.16%,5.91%,,,,,,,,,
Silver Creek,99.55%,0.23%,,,,,0.23%,0.23%,,,,,,,,,
Sioux County,97.63%,,0.14%,0.20%,,1.15%,0.88%,2.31%,$29,851.00,$31,406.00,$23,409.00,$21,490.00,$15,999.00,11.10%,15.40%,24.40%,7.50%
Smithfield,100.00%,,,,,,,,,,,,,,,,
Snyder,97.17%,,0.63%,0.31%,,,1.89%,,,,,,,,,,
South Bend,91.86%,,,,,,8.14%,2.33%,,,,,,,,,
South Sioux City,75.90%,0.90%,2.36%,3.19%,0.09%,14.57%,3.05%,24.80%,$36,493.00,$42,712.00,$27,259.00,$21,709.00,$16,165.00,10.10%,11.50%,14.90%,8.30%
Spalding,98.88%,0.19%,,,,0.74%,0.19%,0.74%,,,,,,,,,
Sparks,,,,,,,,,,,,,,,,,
Spencer,99.63%,,0.37%,,,,,,,,,,,,,,
Sprague,96.58%,,0.68%,,,1.37%,1.37%,1.37%,,,,,,,,,
Springfield,98.69%,0.21%,,0.21%,,0.14%,0.76%,1.45%,,,,,,,,,
Springview,100.00%,,,,,,,1.64%,,,,,,,,,
St. Edward,99.12%,0.38%,0.13%,,,,0.38%,1.01%,$27,212.00,$33,750.00,$28,500.00,$17,891.00,$13,973.00,13.60%,15.00%,15.90%,20.80%
St. Helena,100.00%,,,,,,,,,,,,,,,,
St. James,,,,,,,,,,,,,,,,,
St. Libory,,,,,,,,,,,,,,,,,
St. Paul,99.37%,0.23%,0.18%,0.14%,,,0.09%,0.86%,,,,,,,,,
Stamford,97.03%,,,,,0.50%,2.48%,3.47%,,,,,,,,,
Stanton,97.17%,0.18%,0.55%,0.31%,,1.11%,0.68%,2.40%,,,,,,,,,
Stanton County,96.72%,0.42%,0.48%,0.12%,,1.38%,0.88%,2.31%,$36,676.00,$41,040.00,$27,969.00,$19,428.00,$15,511.00,5.30%,6.80%,6.80%,7.20%
Staplehurst,97.41%,,,0.37%,,,2.22%,0.37%,,,,,,,,,
Stapleton,99.00%,,0.33%,,,,0.66%,1.00%,,,,,,,,,
Steele City,100.00%,,,,,,,,,,,,,,,,
Steinauer,100.00%,,,,,,,,,,,,,,,,
Stella,98.18%,,0.91%,,,,0.91%,2.27%,,,,,,,,,
Sterling,98.62%,,0.39%,,,,0.99%,1.18%,,,,,,,,,
Stockham,100.00%,,,,,,,,,,,,,,,,
Stockville,100.00%,,,,,,,5.56%,,,,,,,,,
Strang,100.00%,,,,,,,,,,,,,,,,
Stratton,97.98%,,1.26%,0.25%,,,0.51%,0.51%,,,,,,,,,
Stromsburg,99.19%,,0.08%,0.08%,,0.16%,0.49%,0.65%,,,,,,,,,
Stuart,98.24%,,0.96%,0.32%,0.16%,,0.32%,0.64%,,,,,,,,,
Sumner,94.94%,,1.27%,,,3.38%,0.42%,9.70%,,,,,,,,,
Sunol,,,,,,,,,,,,,,,,,
Superior,98.83%,0.05%,,0.24%,,0.54%,0.34%,1.02%,,,,,,,,,
Surprise,100.00%,,,,,,,,,,,,,,,,
Sutherland,95.84%,0.09%,0.35%,,,3.28%,0.44%,5.05%,,,,,,,,,
Sutton,97.72%,0.07%,0.21%,0.35%,,1.52%,0.14%,3.80%,,,,,,,,,
Swanton,100.00%,,,,,,,,,,,,,,,,
Syracuse,98.92%,,0.06%,0.17%,,0.51%,0.34%,0.57%,,,,,,,,,
Table Rock,99.62%,,,0.38%,,,,1.52%,,,,,,,,,
Talmage,97.01%,2.99%,,,,,,,,,,,,,,,
Tamora,,,,,,,,,,,,,,,,,
Tarnov,100.00%,,,,,,,,,,,,,,,,
Taylor,99.52%,,,,,,0.48%,0.97%,,,,,,,,,
Tecumseh,86.36%,0.06%,0.58%,5.59%,,5.07%,2.33%,6.53%,,,,,,,,,
Tekamah,99.05%,0.11%,0.48%,0.05%,,,0.32%,0.79%,,,,,,,,,
Terrytown,73.22%,,6.81%,,,17.18%,2.79%,44.12%,,,,,,,,,
Thayer,100.00%,,,,,,,,,,,,,,,,
Thayer County,98.70%,0.02%,0.28%,0.12%,,0.33%,0.56%,1.01%,$30,740.00,$38,346.00,$26,964.00,$18,275.00,$17,043.00,7.60%,10.70%,14.80%,11.00%
Thedford,99.53%,,,,,,0.47%,2.37%,,,,,,,,,
Thomas County,99.45%,,0.27%,,,,0.27%,0.82%,$27,292.00,$36,618.00,$25,662.00,$20,577.00,$15,335.00,13.60%,14.30%,21.30%,17.30%
Thurston,96.80%,,,,,1.60%,1.60%,1.60%,,,,,,,,,
Thurston County,45.77%,0.15%,52.03%,0.06%,,0.77%,1.23%,2.43%,$28,170.00,$30,893.00,$24,792.00,$20,481.00,$10,951.00,19.30%,25.60%,32.60%,14.70%
Tilden,95.55%,0.09%,0.93%,0.09%,,2.13%,1.21%,6.77%,,,,,,,,,
Tobias,99.37%,,,0.63%,,,,0.63%,,,,,,,,,
Trenton,98.62%,,,0.20%,,0.59%,0.59%,1.18%,,,,,,,,,
Trumbull,99.53%,,,0.47%,,,,,,,,,,,,,
Tryon,100.00%,,,,,,,,,,,,,,,,
Uehling,96.73%,,2.55%,0.36%,,,0.36%,,,,,,,,,,
Ulysses,96.74%,,0.36%,0.36%,,,2.54%,2.54%,,,,,,,,,
Unadilla,98.54%,,0.29%,,,1.17%,,2.34%,,,,,,,,,
Union,97.31%,,0.38%,0.77%,,,1.54%,1.15%,,,,,,,,,
Upland,97.77%,,1.68%,,,0.56%,,2.23%,,,,,,,,,
Utica,98.00%,0.20%,0.20%,0.90%,,0.10%,0.50%,1.40%,,,,,,,,,
Valentine,92.20%,0.04%,5.78%,0.57%,,0.21%,1.21%,0.89%,$47,639.00,$52,632.00,$38,188.00,$24,636.00,$22,715.00,1.60%,6.40%,0.00%,16.00%
Valley,96.81%,0.56%,0.50%,0.34%,0.06%,0.95%,0.78%,1.79%,,,,,,,,,
Valley County,98.15%,0.15%,0.32%,0.11%,0.06%,0.80%,0.41%,1.61%,$27,926.00,$35,571.00,$25,224.00,$17,217.00,$14,996.00,10.10%,12.80%,16.30%,12.70%
Valparaiso,98.58%,,0.18%,0.18%,,0.89%,0.18%,1.07%,,,,,,,,,
Venango,94.86%,,,,,5.14%,,10.29%,,,,,,,,,
Venice,,,,,,,,,,,,,,,,,
Verdel,98.28%,,,,,,1.72%,5.17%,,,,,,,,,
Verdigre,97.88%,,1.93%,,,,0.19%,,,,,,,,,,
Verdon,95.96%,,,,,,4.04%,0.90%,,,,,,,,,
Virginia,98.51%,,1.49%,,,,,,,,,,,,,,
Waco,98.83%,,,,,0.39%,0.78%,1.17%,,,,,,,,,
Wahoo,98.40%,0.15%,0.30%,0.36%,,0.30%,0.48%,0.84%,,,,,,,,,
Wakefield,83.63%,,1.13%,0.43%,,13.68%,1.13%,17.43%,,,,,,,,,
Wallace,99.39%,,0.30%,,,0.30%,,0.61%,,,,,,,,,
Walthill,27.61%,,67.88%,0.11%,,0.99%,3.41%,6.38%,,,,,,,,,
Walton,,,,,,,,,,,,,,,,,
Wann,,,,,,,,,,,,,,,,,
Washington,99.21%,,,,,,0.79%,,,,,,,,,,
Washington County,98.12%,0.34%,0.20%,0.29%,0.11%,0.30%,0.63%,1.08%,$48,500.00,$56,429.00,$36,901.00,$25,893.00,$21,055.00,4.10%,6.00%,8.00%,7.50%
Waterbury,100.00%,,,,,,,,,,,,,,,,
Waterloo,98.69%,,,,,0.87%,0.44%,2.61%,,,,,,,,,
Wauneta,96.16%,0.16%,0.00%,0.48%,0.16%,2.72%,0.32%,2.72%,,,,,,,,,
Wausa,98.90%,0.47%,0.16%,0.16%,,,0.31%,0.63%,,,,,,,,,
Waverly,98.00%,0.12%,0.53%,0.29%,0.04%,0.16%,0.86%,0.82%,,,,,,,,,
Wayne,96.35%,1.59%,0.36%,0.34%,0.02%,0.43%,0.91%,1.42%,,,,,,,,,
Wayne County,96.78%,0.94%,0.35%,0.35%,0.01%,0.85%,0.72%,1.48%,$32,366.00,$43,840.00,$27,848.00,$20,376.00,$14,644.00,7.40%,14.50%,10.60%,7.20%
Webster County,98.10%,0.15%,0.27%,0.47%,0.07%,0.22%,0.71%,0.54%,$30,026.00,$36,513.00,$26,555.00,$18,480.00,$16,802.00,7.70%,11.20%,13.50%,10.50%
Weeping Water,99.09%,,0.09%,,0.09%,,0.73%,0.54%,,,,,,,,,
Weissert,,,,,,,,,,,,,,,,,
Wellfleet,92.11%,,,,,,7.89%,6.58%,,,,,,,,,
West Point,92.02%,0.22%,0.41%,0.16%,,5.74%,1.45%,12.02%,,,,,,,,,
Western,97.91%,,0.70%,,,,1.39%,,,,,,,,,,
Westerville,,,,,,,,,,,,,,,,,
Weston,100.00%,,,,,,,0.32%,,,,,,,,,
Wheeler County,99.10%,,0.23%,,,0.56%,0.11%,0.56%,$26,771.00,$33,750.00,$21,563.00,$17,083.00,$14,355.00,15.40%,20.90%,27.80%,16.70%
Whiteclay,35.71%,,64.29%,,,,,,$61,250.00,$76,250.00,$25,625.00,$53,750.00,$21,394.00,0.00%,0.00%,,
Whitman,,,,,,,,,,,,,,,,,
Whitney,97.70%,,,,,2.30%,,2.30%,,,,,,,,,
Wilber,97.33%,,0.06%,0.85%,0.11%,1.14%,0.51%,1.82%,,,,,,,,,
Wilcox,98.89%,,0.28%,,,,0.83%,0.28%,,,,,,,,,
Willow Island,,,,,,,,,,,,,,,,,
Wilsonville,97.46%,,0.85%,,,1.69%,,1.69%,,,,,,,,,
Winnebago,5.47%,0.13%,91.93%,,,1.95%,0.52%,2.73%,,,,,,,,,
Winnetoon,100.00%,,,,,,,,,,,,,,,,
Winside,98.72%,0.43%,,0.64%,,,0.21%,,,,,,,,,,
Winslow,99.04%,,0.96%,,,,,3.85%,,,,,,,,,
Wisner,98.35%,0.39%,0.16%,0.24%,,0.16%,0.71%,0.55%,,,,,,,,,
Wolbach,96.86%,,,,,2.09%,1.05%,2.09%,,,,,,,,,
Wood Lake,95.83%,,1.39%,,,,2.78%,,,,,,,,,,
Wood River,96.35%,0.25%,0.08%,0.08%,,2.82%,0.42%,12.46%,,,,,,,,,
Woodland Hills,,,,,,,,,,,,,,,,,
Woodland Park,,,,,,,,,,,,,,,,,
Wymore,96.68%,0.12%,1.51%,0.42%,0.12%,0.18%,0.97%,1.27%,,,,,,,,,
Wynot,100.00%,,,,,,,,,,,,,,,,
Yankee Hill,,,,,,,,,,,,,,,,,
York,96.76%,0.74%,0.15%,0.74%,0.11%,0.58%,0.92%,1.56%,,,,,,,,,
York County,96.78%,0.96%,0.29%,0.49%,0.08%,0.64%,0.77%,1.40%,$37,093.00,$44,741.00,$30,658.00,$19,874.00,$17,670.00,6.00%,8.50%,9.90%,7.10%
Yutan,96.71%,0.16%,0.82%,0.49%,,0.25%,1.56%,1.15%,,,,,,,,,
