NAME	BD_NAME	BD	DD_NAME	DD
Henry_S._Benedict	John D. White	1849-01-16	John Hahn	February 26	 1823
Henry_S._Caulfield	John D. Works	1847-03-29	John Hall Buchanan Jr.	March 5	 2018
Henry_S._De_Forest	John Dalzell	1845-04-19	John Hall Stephens	November 18	 1924
Henry_S._Foote	John Daniel Clardy	1828-08-30	John Hamilton (congressman)	August 22	 1837
Henry_S._Geyer	John Davenport (Connecticut politician)	1752-01-16	John Hamlin Folger	July 19	 1963
Henry_S._Harris	John Davenport (Ohio politician)	1788-01-09	John Hammond (U.S. Representative)	May 28	 1889
Henry_S._Magoon	John Davis (Massachusetts governor)	1787-01-13	John Hancock (Texas politician)	July 19	 1893
Henry_S._Neal	John Davis (Pennsylvania politician)	1788-08-07	John Hans Krebs	November 10	 2014
Henry_S._Reuss	John Davis Lodge	1903-10-20	John Hardy (US politician)	December 9	 1913
Henry_S._Walbridge	John Davis Long	1838-10-27	John Hartwell Marable	April 11	 1844
Henry_Selby_Clark	John De Mott	1790-10-07	John Hastings (Ohio)	December 8	 1854
Henry_Shaw_(Massachusetts)	John Dean Dickinson	1767-06-28	John Hathorn	February 19	 1825
Henry_Sherman_Boutell	John Delaney (Maryland politician)	1963-04-16	John Heath (politician)	October 13	 1810
Henry_Sherwood_(congressman)	John Dennis (1771-1806)	1771-12-17	John Heinz	April 4	 1991
Henry_Smith_(Wisconsin)	John DeWitt Clinton Atkins	1825-06-04	John Henninger Reagan	March 6	 1905
Henry_Smith_Lane	John Dick (politician)	1794-06-17	John Henry (representative)	April 28	 1882
Henry_Smith_Van_Eaton	John Dickey (American politician)	1794-06-23	John Henry Bowen	September 25	 1822
Henry_Snapp	John Dillard Bellamy	1854-03-24	John Henry Hubbard	July 30	 1872
Henry_Southard	John Dingell	1926-07-08	John Henry Kyl	December 23	 2002
Henry_St._George_Tucker_III	John Dingell Sr.	1894-02-02	John Henry Lumpkin	July 10	 1860
Henry_St._George_Tucker_Sr.	John Doolittle	1950-10-30	John Henry Rogers	April 17	 1911
Henry_St._John_(congressman)	John Dougherty (Missouri politician)	1857-02-25	John Herman Dent	April 9	 1988
Henry_Stockbridge_Jr.	John Dowdy	1912-02-11	John Hervey Crozier	October 25	 1889
Henry_Swearingen	John Duncan Sr.	1919-03-24	John Hickman (Pennsylvania politician)	March 23	 1875
Henry_T._Bannon	John Duncan Young	1823-09-22	John Hiester	October 15	 1821
Henry_T._Ellett	John E. Cunningham	1931-03-27	John Hill (New Jersey politician)	July 24	 1884
Henry_Taylor_Blow	John E. Fogarty	1913-03-23	John Hill (Virginia politician)	April 19	 1880
Henry_Tazewell	John E. Grotberg	1925-03-21	John Hoge	August 4	 1824
Henry_Teigan	John E. Henderson	1917-01-04	John Hoge Ewing	June 9	 1887
Henry_Thomas_Helgesen	John E. Howard	1752-06-04	John Holmes (Maine politician)	July 7	 1843
Henry_Thomas_Rainey	John E. Hunt	1908-11-25	John Hopkins Clarke	November 23	 1870
Henry_U._Johnson	John E. Hutton	1828-03-28	John Houston Savage	April 5	 1904
Henry_Vail	John E. Kenna	1848-04-10	John Hunter (South Carolina politician)	December 30	 1802
Henry_Van_Aernam	John E. Lyle Jr.	1910-09-04	John Hutchins	November 20	 1891
Henry_Vollmer	John E. McCall	1859-08-14	John Huyler	January 9	 1870
Henry_W._Blair	John E. Miles	1884-07-28	John Hyde Sweet	April 4	 1964
Henry_W._Corbett	John E. Miller	1888-05-15	John I. De Graff	July 26	 1848
Henry_W._Dwight	John E. Moss	1915-04-13	John I. Mitchell	August 20	 1907
Henry_W._Edwards	John E. Nelson (Maine politician)	1874-07-12	John I. Rinaker	January 15	 1915
Henry_W._Harrington	John E. Peterson	1938-12-25	John I. Slingerland	October 26	 1861
Henry_W._Keyes	John E. Raker	1863-02-22	John I. Vanmeter	August 3	 1875
Henry_W._Livingston	John E. Rankin	1882-03-29	John Irby	December 9	 1900
Henry_W._Lord	John E. Sununu	1964-09-10	John J. Allen Jr.	March 7	 1995
Henry_W._Seymour	John E. Sweeney	1955-08-09	John J. Babka	March 22	 1937
Henry_Waldron	John E. Weeks	1853-06-14	John J. Blaine	April 16	 1934
Henry_Warner_Slocum	John Edward Bouligny	1824-05-05	John J. Boylan	October 5	 1938
Henry_Warren_Ogden	John Edwards	1953-06-10	John J. Casey	May 5	 1929
Henry_Washington_Hilliard	John Emory Andrus	1841-02-16	John J. Chappell	May 23	 1871
Henry_Watterson	John Ensign	1958-03-25	John J. Crittenden	July 26	 1863
Henry_Waxman	John Eugene Osborne	1858-06-19	John J. De Haven	January 26	 1913
Henry_Wells_Tracy	John F. Baldwin Jr.	1915-06-28	John J. Delaney	November 18	 1948
Henry_White_Beeson	John F. Benjamin	1817-01-23	John J. Dempsey	March 11	 1958
Henry_Wilbur_Bentley	John F. Carew	1873-04-16	John J. Douglass	April 5	 1939
Henry_Wilbur_Palmer	John F. Collin	1802-04-30	John J. Eagan	June 13	 1956
Henry_William_Connor	John F. Dezendorf	1834-08-10	John J. Esch	April 27	 1941
Henry_Williams_(Massachusetts)	John F. Driggs	1813-03-08	John J. Exon	June 10	 2005
Henry_Wilson	John F. Dryden	1839-08-07	John J. Feely	February 15	 1905
Henry_Wilson_(Pennsylvania)	John F. Farnsworth	1820-03-27	John J. Fitzgerald	May 13	 1952
Henry_Winfield_Watson	John F. Finerty	1846-09-10	John J. Gardner	February 7	 1921
Henry_Winter_Davis	John F. Fitzgerald	1863-02-11	John J. Gilligan	August 26	 2013
Henry_Woods_(Pennsylvania)	John F. Follett	1831-02-18	John J. Gorman	February 24	 1949
Henry_Wynkoop	John F. Hunter	1896-10-19	John J. Hardin	February 23	 1847
Henry_Y._Cranston	John F. Kennedy	1917-05-29	John J. Hemphill	May 11	 1912
Henry_Z._Osborne	John F. Lewis	1818-03-01	John J. Hickey	September 22	 1970
Henson_Moore	John F. McKinney	1827-04-12	John J. Jenkins	June 10	 1911
Herb_Klein_(politician)	John F. Nugent	1868-06-28	John J. Kindred	October 23	 1937
Herb_Kohl	John F. Parrott	1767-08-08	John J. Lentz	July 27	 1931
Herbert_Alton_Meyer	John F. Potter	1817-05-11	John J. McFall	March 7	 2006
Herbert_Covington_Bonner	John F. Seiberling	1918-09-08	John J. McIntyre (politician)	November 30	 1974
Herbert_E._Hitchcock	John F. Seymour	1937-12-03	John J. McRae	May 31	 1868
Herbert_H._Bateman	John F. Shafroth	1854-06-09	John J. McSwain	August 6	 1936
Herbert_H._Lehman	John F. Shelley	1905-09-03	John J. Milligan	April 20	 1875
Herbert_Harris	John F. Snodgrass	1804-03-02	John J. O'Connor (politician)	January 26	 1960
Herbert_J._Drane	John F. Tierney	1951-09-18	John J. Patterson	September 28	 1912
Herbert_J._McGlinchey	John Fabyan Parrott	1767-08-08	John J. Riley	January 1	 1962
Herbert_Parsons_(New_York_politician)	John Fairfield	1797-01-30	John J. Taylor (New York politician)	July 1	 1892
Herbert_Pell	John Fairfield Scamman	1786-10-24	John J. Whitacre	December 2	 1938
Herbert_R._O'Conor	John Faso	1952-08-25	John J. Wood	May 20	 1874
Herbert_S._Bigelow	John Fay (politician)	1773-02-10	John Jacob Rhodes	August 24	 2003
Herbert_S._Walters	John Findlay (U.S. politician)	1766-03-31	John Jacob Rhodes III	January 20	 2011
Herbert_Tenzer	John Fine (politician)	1794-01-04	John Jacob Rogers	March 28	 1925
Herbert_W._Taylor	John Finis Philips	1834-12-31	John James Davis	March 19	 1916
Herbert_Warburton	John Fleming (American politician)	1951-07-05	John James Ingalls	August 16	 1900
Herbert_Wesley_Cummings	John Fletcher Darby	1803-12-10	John James Jones	October 19	 1898
Herbert_Zelenko	John Floyd (Georgia politician)	1769-10-03	John James McDannold	February 3	 1904
Herman_A._Metz	John Floyd (Virginia politician)	1783-04-24	John Jameson (politician)	January 24	 1857
Herman_Badillo	John Flynt	1914-11-08	John Jarman	January 15	 1982
Herman_Carl_Andersen	John Ford House	1827-01-09	John Jennings (American politician)	February 27	 1956
Herman_D._Gould	John Forsyth (politician)	1780-10-22	John Johns Trigg	May 17	 1804
Herman_Dahle	John Foster Dulles	1888-02-25	John Johnson (Ohio congressman)	February 5	 1867
Herman_Knickerbocker	John Fowler (politician)	1756-04-27	John Joseph Mitchell	September 13	 1925
Herman_L._Humphrey	John Fox (congressman)	1835-06-30	John Joseph Seerley	February 23	 1931
Herman_Lehlbach	John Francis Mercer	1759-05-17	John K. Griffin	August 1	 1841
Herman_P._Eberharter	John Frank Boyd	1853-08-08	John K. Griffith	September 25	 1942
Herman_P._Goebel	John Franklin Rixey	1854-08-01	John K. Miller	August 11	 1863
Herman_P._Kopplemann	John Freedley	1793-05-22	John K. Shields	September 30	 1934
Herman_Stump	John G. Alexander	1893-07-16	John K. Tarbox	May 28	 1887
Herman_T._Schneebeli	John G. Carlisle	1834-09-05	John K. Tener	May 19	 1946
Herman_Talmadge	John G. Cooper	1872-04-27	John Kean (New Jersey politician)	November 4	 1914
Herman_Toll	John G. Davis	1810-10-10	John Kee	May 8	 1951
Herman_W._Snow	John G. Dow	1905-05-06	John Kerr Hendrick	June 20	 1921
Herman_Welker	John G. Fary	1911-04-11	John Kershaw (American politician)	August 4	 1829
Hernando_Money	John G. Floyd	1806-02-05	John King (New York congressman)	September 1	 1836
Herron_C._Pearson	John G. Hutchinson	1935-02-04	John Klingensmith Jr.	February 8	 1854
Herschel_H._Hatch	John G. Jackson (politician)	1777-09-22	John Knox Stewart	June 27	 1919
Herschel_M._Hogg	John G. Milton	1881-01-21	John L. Blake	October 10	 1899
Herschel_V._Johnson	John G. Rowland	1957-05-24	John L. Bretz	August 31	 1927
Hervey_C._Calkin	John G. Sawyer	1825-06-05	John L. Burnett	May 13	 1919
Hervey_Machen	John G. Schmitz	1930-08-12	John L. Cable	September 15	 1971
Hestor_L._Stevens	John G. Townsend Jr.	1871-05-31	John L. Jolley	December 14	 1926
Hezekiah_Bradley_Smith	John G. Utterback	1872-07-12	John L. Kennedy	August 30	 1946
Hezekiah_L._Hosmer	John G. Warwick	1830-12-23	John L. McClellan	November 28	 1977
Hezekiah_S._Bundy	John Gaillard	1765-09-05	John L. McLaurin	July 29	 1934
Hezekiah_Williams	John Galbraith (Pennsylvania politician)	1794-08-02	John L. McMillan	September 3	 1979
Hiester_Clymer	John Garamendi	1945-01-24	John L. Mitchell	June 29	 1904
Hiland_Hall	John Gaston Grant	1858-01-01	John L. N. Stratton	May 17	 1889
Hilary_A._Herbert	John Gayle (Alabama)	1792-09-11	John L. Schoolcraft	June 7	 1860
Hilda_Solis	John Gebhard	1782-02-22	John L. Taylor	September 6	 1870
Hillary_Clinton	John Gilfillan	1835-02-11	John L. Vance	June 10	 1921
Hines_Holt	John Gill Jr.	1850-06-09	John L. Wilson	November 6	 1912
Hinton_James_(representative)	John Gilmore (representative)	1780-02-18	John Lamb (congressman)	November 21	 1924
Hiram_B._Warner	John Glenn	1921-07-18	John Lambert (politician)	February 4	 1823
Hiram_Barber_Jr.	John Glenn Beall Jr.	1927-06-19	John Laporte	August 22	 1862
Hiram_Belcher	John Goode (Virginia politician)	1829-05-27	John Laurance	November 11	 1810
Hiram_Bingham	John Greig (representative)	1779-08-06	John Lee (Maryland politician)	May 17	 1871
Hiram_Gray	John Griffin Carlisle	1834-09-05	John Leeds Kerr	February 21	 1844
Hiram_Johnson	John Guier Scott	1819-12-26	John Lefferts	September 18	 1829
Hiram_Kinsman_Evans	John H. Bankhead	1842-09-13	John Leisenring	January 19	 1901
Hiram_L._Fong	John H. Burke	1894-06-02	John Lesinski Sr.	May 27	 1950
Hiram_Lawton_Richmond	John H. Camp	1840-04-04	John Letcher	January 26	 1884
Hiram_McCullough	John H. Capstick	1856-09-02	John Levi Sheppard	October 11	 1902
Hiram_P._Hunt	John H. Evins	1830-07-18	John Lewis	July 17	 2020
Hiram_Parks_Bell	John H. Foster	1862-01-31	John Lewis Brenner	November 1	 1906
Hiram_Price	John H. Gear	1825-04-07	John Lind (politician)	September 18	 1930
Hiram_R._Burton	John H. Graham	1835-04-01	John Lindsay	December 19	 2000
Hiram_Rhodes_Revels	John H. Hoeppel	1881-02-10	John Linscom Boss Jr.	August 1	 1819
Hiram_Walbridge	John H. Hoffecker	1827-09-12	John Little (congressman)	October 18	 1900
Hiram_Walden	John H. Kerr	1873-12-31	John Littleton Dawson	September 18	 1870
Hiram_Y._Smith	John H. Ketcham	1832-12-21	John Locke (Massachusetts)	March 29	 1855
Hjalmar_Carl_Nygaard	John H. Lewis	1830-07-21	John Logan Chipman	August 17	 1893
Holm_O._Bursum	John H. Mitchell	1835-06-22	John Lourie Beveridge	May 3	 1910
Homer_A._Ramey	John H. Moffitt	1843-01-08	John Lynch (congressman)	July 21	 1892
Homer_Augustus_Nelson	John H. Morehead	1861-12-03	John M. Ashbrook	April 24	 1982
Homer_Bone	John H. Overton	1875-09-17	John M. Berrien	January 1	 1856
Homer_C._Parker	John H. Reagan	1818-10-08	John M. Bowers	February 24	 1846
Homer_D._Angell	John H. Rice	1816-02-05	John M. Brower	August 5	 1913
Homer_E._Capehart	John H. Rousselot	1927-11-01	John M. C. Smith	March 30	 1923
Homer_Elihu_Royce	John H. Starin	1825-08-27	John M. Carroll (politician)	May 8	 1901
Homer_Hoch	John H. Terry	1924-11-14	John M. Clayton	November 9	 1856
Homer_Jones_(politician)	John Hagans	1838-08-13	John M. Coffee	June 2	 1983
Homer_L._Lyon	John Hahn	1776-10-30	John M. Coghlan	March 26	 1879
Homer_P._Snyder	John Hall (New York politician)	1948-07-23	John M. Costello	August 28	 1976
Homer_S._Ferguson	John Hall Buchanan Jr.	1928-03-19	John M. Crebs	June 26	 1890
Homer_Thornberry	John Hall Stephens	1847-11-22	John M. Davy	April 21	 1909
Homer_V._M._Miller	John Hamilton (congressman)	1754-11-25	John M. Faison	April 21	 1915
Homer_W._Hall	John Hamlin Folger	1880-12-18	John M. Gearin	November 12	 1930
Hopkins_L._Turney	John Hammond (U.S. Representative)	1827-08-17	John M. Goodenow	?
Horace_B._Smith	John Hancock (Texas politician)	1824-10-24	John M. Hyneman	April 16	 1816
Horace_B._Strait	John Hans Krebs	1926-12-17	John M. Mitchell	May 31	 1905
Horace_Billings_Packer	John Hartwell Marable	1786-11-18	John M. Moore	February 3	 1940
Horace_Binney	John Hathorn	1749-01-09	John M. Murphy	May 25	 2015
Horace_Chilton	John Heinz	1938-10-23	John M. Nelson	January 29	 1955
Horace_Davis	John Henninger Reagan	1818-10-08	John M. Pattison	June 18	 1906
Horace_F._Bartine	John Henry (representative)	1800-11-01	John M. Patton	October 29	 1858
Horace_F._Clark	John Henry Hubbard	1804-03-24	John M. Pinckney	April 24	 1905
Horace_F._Page	John Henry Kyl	1919-05-09	John M. Robsion	February 17	 1948
Horace_G._Snover	John Henry Lumpkin	1812-06-13	John M. Robsion Jr.	February 14	 1990
Horace_Greeley	John Henry Rogers	1845-10-09	John M. S. Williams	March 19	 1886
Horace_Harrison	John Hervey Crozier	1812-02-10	John M. Sandidge	March 30	 1890
Horace_Ladd_Moore	John Hickman (Pennsylvania politician)	1810-09-11	John M. Slack Jr.	March 17	 1980
Horace_Mann	John Hiester	1745-04-09	John M. Vining	February 1802
Horace_Mann_Towner	John Hoeven	1957-03-13	John M. Wever	September 27	 1914
Horace_Maynard	John Hoge	1760-09-10	John M. Wiley	August 13	 1912
Horace_R._Kornegay	John Hoge Ewing	1796-10-05	John M. Wood	December 24	 1864
Horace_Seely-Brown_Jr.	John Holmes (Maine politician)	1773-03-14	John M. Zwach	November 11	 1990
Horace_Tabor	John Hopkins Clarke	1789-04-01	John Manning Jr.	February 12	 1899
Horace_Wheaton	John Hostettler	1961-07-19	John Marshall	July 6	 1835
Horace_Worth_Vaughan	John Houston Savage	1815-10-09	John Marshall Rose	April 22	 1923
Horatio_Bisbee_Jr.	John Hutchins	1812-07-25	John Martin Broomall	June 3	 1894
Horatio_C._Burchard	John Hyde Sweet	1880-09-01	John Martin Vorys	August 25	 1968
Horatio_C._Claypool	John I. De Graff	1783-10-02	John Marvin Jones	March 4	 1976
Horatio_Gates_Fisher	John I. Mitchell	1838-07-28	John Mason Martin	June 16	 1898
Horatio_Seymour	John I. Rinaker	1830-11-01	John Matthew O'Connell	December 6	 1941
Hosea_H._Rockwell	John I. Slingerland	1804-03-01	John Mattocks	August 14	 1847
Hosea_Moffitt	John Irby	1854-09-10	John May Taylor	February 17	 1911
Hosea_Townsend	John J. Babka	1884-03-16	John McCain	August 25	 2018
Hosea_Washington_Parker	John J. Blaine	1875-05-04	John McCarthy (Nebraska politician)	March 30	 1943
Howard_A._Coffin	John J. Casey	1875-05-26	John McConnell Rice	September 18	 1895
Howard_Alexander_Smith	John J. Chappell	1782-01-19	John McCreary	November 4	 1833
Howard_Baker_Jr.	John J. Crittenden	1787-09-10	John McDonald (Maryland politician)	January 30	 1917
Howard_Baker_Sr.	John J. De Haven	1845-03-12	John McDowell (Pennsylvania)	December 11	 1957
Howard_Berman	John J. Dempsey	1879-06-22	John McDuffie	November 1	 1950
Howard_Buffett	John J. Douglass	1873-02-09	John McKee	August 12	 1832
Howard_C._Nielson	John J. Eagan	1872-01-22	John McKeon	November 22	 1883
Howard_Coble	John J. Esch	1861-03-20	John McKinley	July 19	 1852
Howard_E._Campbell	John J. Exon	1921-08-09	John McLean	April 4	 1861
Howard_J._McMurray	John J. Feely	1875-08-01	John McLean (Illinois politician)	October 14	 1830
Howard_M._Baldrige	John J. Fitzgerald	1872-03-10	John McNulta	February 22	 1900
Howard_M._Snapp	John J. Gilligan	1921-03-22	John McQueen	August 30	 1867
Howard_Metzenbaum	John J. Gorman	1883-06-02	John McSweeney (Ohio politician)	December 13	 1969
Howard_Mutchler	John J. Hardin	1810-01-06	John Melcher	April 12	 2018
Howard_Shultz_Miller	John J. Hickey	1911-08-22	John Mercer Langston	November 15	 1897
Howard_Sutherland	John J. Jenkins	1843-08-24	John Merriman Reynolds	September 14	 1933
Howard_W._Cannon	John J. Kindred	1864-07-15	John Michael Clancy	July 25	 1903
Howard_W._Robison	John J. LaFalce	1939-10-06	John Milledge	February 9	 1818
Howard_W._Smith	John J. Lentz	1856-01-27	John Millen (American politician)	October 15	 1843
Howard_Wallace_Pollock	John J. McFall	1918-02-20	John Miller (Missouri politician)	March 18	 1846
Howard_William_Stull	John J. McIntyre (politician)	1904-12-17	John Miller (New York politician)	March 31	 1862
Howard_Wolpe	John J. McRae	1815-01-10	John Miller (Washington politician)	October 4	 2017
Howell_Cobb	John J. Milligan	1795-12-10	John Miller Baer	February 18	 1970
Howell_Cobb_(born_1772)	John J. O'Connor (politician)	1885-11-23	John Mills Allen	October 30	 1917
Howell_E._Jackson	John J. Patterson	1830-08-08	John Mills Houston	April 29	 1975
Howell_Heflin	John J. Riley	1895-02-01	John Millson	March 1	 1874
Hubert_B._Scudder	John J. Taylor (New York politician)	1808-04-27	John Milton Niles	May 31	 1856
Hubert_D._Stephens	John J. Whitacre	1860-12-28	John Milton Thayer	March 19	 1906
Hubert_Fisher	John J. Wood	1784-02-16	John Montgomery (Maryland politician)	July 17	 1828
Hubert_H._Peavey	John Jacob Rhodes	1916-09-18	John Moore (Louisiana)	June 17	 1867
Hubert_Humphrey	John Jacob Rhodes III	1943-09-08	John Morgan Bright	October 2	 1911
Hubert_S._Ellis	John James Davis	1835-05-05	John Morrissey	May 1	 1878
Hubert_Utterback	John James Ingalls	1833-12-29	John Morrow (New Mexico)	February 25	 1935
Huey_P._Long	John James Jones	1824-11-13	John Morrow (Virginia)	?
Hugh_A._Butler	John James McDannold	1851-08-29	John Mosher Bailey	February 21	 1916
Hugh_A._Haralson	John Jameson (politician)	1802-03-06	John Motley Morehead II	December 13	 1923
Hugh_Buchanan	John Jenrette	1936-05-19	John Murphy (Alabama politician)	September 21	 1841
Hugh_Caperton	John Joseph Cavanaugh III	1945-08-01	John Murtha	February 8	 2010
Hugh_Carey	John Joseph Seerley	1852-03-13	John Myers Felder	September 1	 1851
Hugh_De_Lacy_(politician)	John Joyce (American politician)	1957-02-08	John N. Erlenborn	October 30	 2005
Hugh_F._Finley	John K. Griffin	1789-08-13	John N. Hungerford	April 2	 1883
Hugh_Glasgow	John K. Griffith	1882-10-16	John N. Norton	October 5	 1960
Hugh_H._Price	John K. Miller	1819-05-25	John N. Sandlin	December 25	 1957
Hugh_Ike_Shott	John K. Shields	1858-08-15	John N. W. Rumple	January 31	 1903
Hugh_J._Anderson	John K. Tener	'	John N. Williamson	August 29	 1943
Hugh_J._Jewett	John Kasich	1952-05-13	John Nance Garner	November 7	 1967
Hugh_Joseph_Addonizio	John Katko	1962-11-09	John Nelson (lawyer)	January 18	 1860
Hugh_Lawson_White	John Kean (New Jersey politician)	1852-12-04	John Netherland Heiskell	?
Hugh_Lawson_White_Hill	John Kee	1874-08-22	John Nevett Steele	August 13	 1853
Hugh_M._Rigney	John Kennedy (Louisiana politician)	1951-11-21	John Newbold Camp	September 27	 1987
Hugh_Meade	John Kerr Hendrick	1849-10-10	John Nicholas (congressman)	December 31	 1819
Hugh_Mitchell	John Kerry	1943-12-11	John Noble Goodwin	April 29	 1887
Hugh_Nelson_(American_politician)	John Kershaw (American politician)	1765-09-12	John Norvell	April 24	 1850
Hugh_Peterson	John Kline (politician)	1947-09-06	John Noyes	October 26	 1841
Hugh_Quincy_Alexander	John Klingensmith Jr.	1786-03-26	John O. Pastore	July 15	 2000
Hugh_R._Belknap	John Knox Stewart	1853-10-20	John O'Neill (congressman)	May 25	 1905
Hugh_S._Hersman	John L. Blake	1831-03-25	John Otho Marsh Jr.	February 4	 2019
Hugh_S._Legare	John L. Bretz	1847-12-16	John P. Cushman	September 16	 1848
Hugh_Scott	John L. Burnett	1854-01-20	John P. Gaines	December 9	 1857
Hugh_White_(New_York)	John L. Cable	1884-04-15	John P. Hale	November 19	 1873
Hugh_Williamson	John L. Jolley	1840-07-14	John P. Jones	November 27	 1912
Hugo_Black	John L. Kennedy	1854-10-27	John P. Kennedy	August 18	 1870
Hugo_S._Sims_Jr.	John L. McLaurin	1860-05-09	John P. Leedom	March 18	 1895
Humphrey_H._Leavitt	John L. McMillan	1898-04-12	John P. Newsome	November 10	 1961
Humphrey_Marshall	John L. Mitchell	1842-10-19	John P. Saylor	October 28	 1973
Humphrey_Marshall_(general)	John L. Schoolcraft	1806-09-22	John P. Stockton	January 22	 1900
Hunter_Holmes_Moss_Jr.	John L. Taylor	1805-03-07	John Page (Virginia politician)	October 11	 1808
Hutchins_Gordon_Burton	John L. Vance	1839-07-19	John Paterson (New York politician)	July 19	 1808
Ignatius_L._Donnelly	John L. Wilson	1850-08-07	John Patrick Higgins	August 2	 1955
Ike_Franklin_Andrews	John Lambert (politician)	1746-02-24	John Patten (American politician)	December 26	 1800
Ike_Skelton	John Laporte	1798-11-04	John Patterson (Ohio politician)	February 7	 1848
Ileana_Ros-Lehtinen	John LeBoutillier	1953-05-26	John Patton Jr.	May 24	 1907
Ilhan_Omar	John Leeds Kerr	1780-01-15	John Paul (judge)	November 1	 1901
Independent	John Lefferts	1785-12-17	John Paul Hammerschmidt	April 1	 2015
Independent_Democrat	John Leisenring	1853-06-03	John Paul Jr. (judge)	February 13	 1964
Innis_Green	John Lesinski Sr.	1885-01-03	John Pendleton	November 19	 1868
Ira_Allen_Eastman	John Letcher	1813-03-29	John Pendleton King	March 19	 1888
Ira_B._Hyde	John Levi Sheppard	1852-04-13	John Perkins Jr.	November 28	 1885
Ira_Clifton_Copley	John Lewis	1940-02-21	John Peter Richardson II	January 24	 1864
Ira_Davenport_(politician)	John Lewis Brenner	1832-02-02	John Peter Van Ness	March 7	 1846
Ira_E._Rider	John Light Napier	1947-05-16	John Pettit	January 17	 1877
Ira_G._Hersey	John Lind (politician)	1854-03-25	John Pickler	June 13	 1910
Ira_Harris	John Linder	1942-09-09	John Plank Tracey	July 24	 1910
Ira_W._Drew	John Lindsay	1921-11-24	John Pool	August 16	 1884
Ira_W._Wood	John Linscom Boss Jr.	1780-09-07	John Pope (Kentucky politician)	July 12	 1845
Irene_Baker	John Little (congressman)	1837-04-25	John Porter East	June 29	 1986
Iris_Faircloth_Blitch	John Littleton Dawson	1813-02-07	John Q. Tilson	August 14	 1958
Irvin_S._Pepper	John Locke (Massachusetts)	1764-02-14	John Quayle (politician)	November 27	 1930
Irvine_Lenroot	John Logan Chipman	1830-06-05	John Quincy Adams	February 23	 1848
Irving_Ives	John M. Ashbrook	1928-09-21	John Quincy Smith	December 30	 1901
Irving_Price_Wanger	John M. Berrien	1781-08-23	John R. Buck	February 6	 1917
Irving_W._Drew	John M. Brower	1845-07-29	John R. Clancy	April 21	 1932
Irwin_D._Davidson	John M. C. Smith	1853-02-06	John R. Connelly	September 9	 1940
Isaac_Ambrose_Barber	John M. Carroll (politician)	1823-04-27	John R. Dellenback	December 7	 2002
Isaac_Anderson_(congressman)	John M. Clayton	1796-07-24	John R. Drake	March 21	 1857
Isaac_B._Van_Houten	John M. Coffee	1897-01-23	John R. Eden	June 9	 1909
Isaac_Bacharach	John M. Costello	1903-01-15	John R. Farr	December 11	 1933
Isaac_Bloom	John M. Crebs	1830-04-09	John R. Fellows	December 7	 1896
Isaac_C._Bates	John M. Davy	1835-06-29	John R. French	October 2	 1890
Isaac_C._Delaplaine	John M. Faison	1862-04-17	John R. Goodin	December 18	 1885
Isaac_Charles_Parker	John M. Gearin	1851-08-15	John R. Hansen	September 23	 1974
Isaac_Clements	John M. Hyneman	1771-04-25	John R. Lynch	November 2	 1939
Isaac_Clinton_Kline	John M. McHugh	1948-09-29	John R. McBride	July 20	 1904
Isaac_Coles	John M. Mitchell	1858-03-18	John R. McPherson	October 8	 1897
Isaac_D._Barnard	John M. Moore	1862-11-18	John R. Murdock	February 14	 1972
Isaac_D._Young	John M. Murphy	1926-08-03	John R. Neal	March 16	 1889
Isaac_Dashiell_Jones	John M. Pattison	1847-06-13	John R. Phillips (American politician)	December 18	 1983
Isaac_E._Crary	John M. Pinckney	1845-05-04	John R. Pillion	December 31	 1978
Isaac_E._Holmes	John M. Robsion	1873-01-02	John R. Ramsey	April 10	 1933
Isaac_Edward_Morse	John M. Robsion Jr.	1904-08-28	John R. Schmidhauser	February 21	 2018
Isaac_Ellmaker_Hiester	John M. S. Williams	1818-08-13	John R. Thayer	December 19	 1916
Isaac_Finch	John M. Sandidge	1817-01-07	John R. Thomas	January 19	 1914
Isaac_Fletcher	John M. Slack Jr.	1915-03-18	John R. Thomson	September 12	 1862
Isaac_G._Farlee	John M. Vining	1758-12-23	John R. Thornton	December 28	 1917
Isaac_Goodnight	John M. Wever	1847-02-24	John R. Tyson	March 27	 1923
Isaac_Griffin	John M. Wiley	1841-08-11	John R. Walsh	January 23	 1975
Isaac_H._Bronson	John Manning Jr.	1830-07-30	John Raines	December 16	 1909
Isaac_H._Duval	John Marshall	1755-09-24	John Randall Walker	July 21	 1942
Isaac_H._Taylor	John Marshall Rose	1856-05-18	John Randolph of Roanoke	May 24	 1833
Isaac_Hill	John Martin Broomall	1816-01-19	John Randolph Tucker (politician)	February 13	 1897
Isaac_Hoffer_Doutrich	John Martin Vorys	1896-06-16	John Rankin Gamble	August 14	 1891
Isaac_Leet	John Marvin Jones	1882-02-26	John Rarick	September 14	 2009
Isaac_Leffler	John Mason Martin	1837-01-20	John Reed Jr.	November 25	 1860
Isaac_M._Jordan	John Matthew O'Connell	1872-08-10	John Reed Sr.	February 17	 1831
Isaac_McKim	John Mattocks	1777-03-04	John Reynolds (Illinois politician)	May 8	 1865
Isaac_N._Arnold	John McCain	1936-08-29	John Rhea	May 27	 1832
Isaac_N._Cox	John McCarthy (Nebraska politician)	1857-07-19	John Ridley Mitchell	February 26	 1962
